EventID,LocationID,NHoles,NClams,NMorts
2691,22309,50,1,1
2681,21200,100,1,1
2668,22309,50,1,1
2651,22307,50,1,1
2629,21100,50,1,1
2629,22307,50,0,0
2629,22309,50,1,1
2604,22309,100,2,2
2771,41400,100,0,0
2769,41300,100,1,0
2699,41400,100,0,0
2756,41200,100,2,2
2751,41200,100,1,1
2748,42600,100,2,2
2748,41300,100,0,0
2729,42500,50,1,1
2729,42600,50,2,2
2708,41400,100,2,2
2685,41300,100,0,0
2655,41300,50,2,2
2631,41300,50,3,3
2630,42500,100,0,0
2630,41400,100,0,0
2605,41400,100,0,0
2603,42600,50,1,1
2768,12500,100,2,2
2763,11104,50,2,2
2757,12400,100,3,3
2752,12500,100,3,3
2752,12400,100,0,0
2749,12500,100,0,5
2743,12400,100,0,0
2735,12300,50,1,1
2726,12600,50,2,2
2654,12500,100,4,4
2650,12500,100,1,0
2638,11200,50,0,0
2775,32009,50,1,1
2775,32007,50,2,2
2775,31005,50,0,0
2772,33012,50,1,1
2772,32007,50,2,2
2772,31005,50,1,1
2767,33012,100,0,0
2765,32009,100,1,1
2765,31005,100,2,2
2760,32007,100,1,1
2755,33012,100,2,2
2755,33012,100,3,3
2754,33012,100,4,4
2754,32009,100,6,6
2738,31005,100,0,0
2736,32007,100,1,1
2724,33012,100,1,1
2724,32009,100,0,0
2724,31005,100,0,0
2696,33012,100,1,1
2682,32009,50,2,2
2683,33012,100,1,1
2667,32007,100,2,2
2653,31005,100,1,1
2652,32009,100,1,1
2633,32007,50,2,2
2627,33012,50,2,2
